[PtcServer Acquisition File]
PtcServerVersion=1.0.0.49
[PTC Status]
ID=Potenciostat [kolibrik.net] 1.4C_20161122 (PTC1, PTC-gamma-rC)
Serial=Kl-Ptc-150238
Setpoint=0
Range=15A
Feedback=Vout
OutputEnabled=0
Switches=35264
AutoCalib=3
AutoRange=0
Vout=0.000146073
Vsense=0.0001361543
Vref=-0.001683696
I=0.00571004
[ACQ CV]
Timestamp=2017-01-18 20:44:45.543
StepReduction=1
AvgOnReduction=1
ChannelMask=15
VChannel=1
Start=0
Margin1=-0.05
Margin2=0.05
End=0
Speed=50
Step=0.001
Sweeps=102
WaitFirst=10
WaitStep=2
WaitSweep=1
RelayAfterOff=1
ChannelCount=4
Channel1=Vout
Channel1Src=Tag3/Channel0
Channel2=Vsense
Channel2Src=Tag3/Channel1
Channel3=Vref
Channel3Src=Tag3/Channel2
Channel4=I
Channel4Src=Tag3/Channel3
[DataHeader]
Number	Vout	Vsense	Vref	I
[Data]
300	-0.2964427	-0.01443728	-0.001651633	-2.885885
301	-0.2974698	-0.01449953	-0.001673281	-2.895616
302	-0.2984956	-0.0145517	-0.00178339	-2.905968
303	-0.2994058	-0.01450206	-0.001752146	-2.915308
304	-0.3004192	-0.01456526	-0.001683336	-2.925018
305	-0.3014322	-0.01464025	-0.001752604	-2.935054
306	-0.3024656	-0.01466671	-0.001731742	-2.94487
307	-0.3034604	-0.01475168	-0.001710945	-2.954799
308	-0.3044185	-0.01474784	-0.001726862	-2.964537
309	-0.3053972	-0.01483304	-0.00173089	-2.974406
310	-0.3064304	-0.0149013	-0.001779264	-2.984161
311	-0.3073721	-0.01489282	-0.001743139	-2.994171
312	-0.3084455	-0.01496515	-0.00170184	-3.003891
313	-0.3095335	-0.01505216	-0.001746578	-3.013902
314	-0.3105141	-0.01503646	-0.001692997	-3.023926
315	-0.3114772	-0.01511628	-0.001737048	-3.033695
316	-0.3125179	-0.01517449	-0.001813554	-3.043125
317	-0.3135001	-0.0152568	-0.001748838	-3.053142
318	-0.314539	-0.01528366	-0.00175624	-3.062826
319	-0.3155067	-0.01533228	-0.001714973	-3.072364
320	-0.316523	-0.01540812	-0.00169267	-3.082175
321	-0.317509	-0.01546239	-0.001729875	-3.091856
322	-0.318531	-0.0155496	-0.001675312	-3.101698
323	-0.319537	-0.01560912	-0.001736949	-3.111288
324	-0.320445	-0.01566891	-0.001701284	-3.12107
325	-0.321439	-0.01563703	-0.00171029	-3.130585
326	-0.322475	-0.0156976	-0.001721065	-3.140422
327	-0.323449	-0.01578736	-0.001631982	-3.150328
328	-0.324471	-0.01583451	-0.001664046	-3.160135
329	-0.325483	-0.01584843	-0.001686284	-3.17015
330	-0.326519	-0.01589761	-0.001744515	-3.17995
331	-0.327496	-0.01594483	-0.001718347	-3.18988
332	-0.328373	-0.0159599	-0.001775104	-3.19968
333	-0.329454	-0.01599312	-0.001698172	-3.20901
334	-0.330446	-0.01608246	-0.001702299	-3.21909
335	-0.331471	-0.01609037	-0.001647899	-3.22889
336	-0.332432	-0.01615952	-0.001666273	-3.23886
337	-0.333423	-0.01622915	-0.001696371	-3.24867
338	-0.33445	-0.01633244	-0.001703576	-3.25856
339	-0.335436	-0.01635418	-0.001660312	-3.26831
340	-0.336419	-0.01643911	-0.001699777	-3.27803
341	-0.337474	-0.01645638	-0.001674788	-3.28803
342	-0.338438	-0.01654349	-0.001598249	-3.29794
343	-0.339406	-0.0165095	-0.001671873	-3.30791
344	-0.340495	-0.0165905	-0.001701382	-3.31802
345	-0.341433	-0.01663404	-0.001693489	-3.32784
346	-0.342507	-0.01672771	-0.001690148	-3.33764
347	-0.343395	-0.01668847	-0.001733445	-3.34723
348	-0.344448	-0.016763	-0.001744024	-3.35712
349	-0.345458	-0.0167498	-0.001723783	-3.36693
350	-0.346453	-0.01679124	-0.001700563	-3.37675
351	-0.347464	-0.01683694	-0.001735901	-3.38671
352	-0.348476	-0.01693445	-0.00172696	-3.39643
353	-0.349477	-0.01694716	-0.001783881	-3.40643
354	-0.350512	-0.01706955	-0.001718216	-3.41615
355	-0.351493	-0.01714231	-0.001796687	-3.42602
356	-0.352503	-0.01714208	-0.001721262	-3.43578
357	-0.353546	-0.01724573	-0.001723816	-3.44558
358	-0.354507	-0.01723233	-0.001730792	-3.45529
359	-0.355482	-0.01731671	-0.001733248	-3.46494
360	-0.356497	-0.01737243	-0.001786862	-3.47469
361	-0.357433	-0.01735723	-0.001698991	-3.48443
362	-0.35845	-0.01744535	-0.001741927	-3.49423
363	-0.359431	-0.0174857	-0.001717757	-3.50426
364	-0.360476	-0.01750924	-0.001726764	-3.51434
365	-0.36133	-0.01756614	-0.001740552	-3.52321
366	-0.362398	-0.01763485	-0.001721229	-3.53303
367	-0.363412	-0.01769737	-0.00172958	-3.54318
368	-0.364419	-0.01778831	-0.001714548	-3.55309
369	-0.365371	-0.01783303	-0.001665519	-3.56291
370	-0.366414	-0.01785466	-0.001663915	-3.57311
371	-0.367471	-0.01790276	-0.001654548	-3.58284
372	-0.368407	-0.01793556	-0.001683401	-3.59326
373	-0.369461	-0.01792273	-0.00167243	-3.60266
374	-0.370477	-0.01803508	-0.001695847	-3.61268
375	-0.371455	-0.01806587	-0.001696535	-3.62256
376	-0.37255	-0.01808094	-0.001691982	-3.6323
377	-0.373482	-0.01806958	-0.001792331	-3.6421
378	-0.374526	-0.01820291	-0.001757451	-3.65182
379	-0.375485	-0.01825663	-0.001756141	-3.66148
380	-0.376451	-0.01835788	-0.001717986	-3.67152
381	-0.377492	-0.01841094	-0.001749362	-3.68121
382	-0.378435	-0.01839462	-0.001713369	-3.69113
383	-0.379376	-0.0184397	-0.001730727	-3.70068
384	-0.380477	-0.01852381	-0.001736098	-3.71066
385	-0.381452	-0.01852825	-0.001696469	-3.72088
386	-0.382406	-0.01864647	-0.001707408	-3.73058
387	-0.383454	-0.01872937	-0.001690607	-3.74032
388	-0.384437	-0.01870482	-0.001726698	-3.75018
389	-0.385449	-0.01877751	-0.001687823	-3.75999
390	-0.386475	-0.01879908	-0.00174517	-3.76971
391	-0.387399	-0.01880315	-0.001727877	-3.77957
392	-0.388413	-0.01890171	-0.001725028	-3.78957
393	-0.389423	-0.0189003	-0.001711043	-3.79928
394	-0.39049	-0.01895953	-0.001732954	-3.80957
395	-0.391454	-0.01904545	-0.001699842	-3.81931
396	-0.392483	-0.0190571	-0.001697976	-3.82918
397	-0.393448	-0.01910284	-0.001701611	-3.839
398	-0.394382	-0.01912444	-0.001732921	-3.84892
